company_name,year,quarter,positive,negative,uncertainty,litigious,modal,total_words,participants
CMA,2019,2,130,104,77,5,69,5426,10
CAH,2019,2,178,100,123,15,71,5638,12
MLM,2019,1,210,123,95,17,82,7266,13
HSIC,2019,2,151,91,98,4,32,5896,6
CF,2019,1,83,125,81,6,91,5150,12
HAS,2019,2,182,93,65,4,56,6356,11
NWL,2019,1,191,121,66,2,36,5327,11
PRGO,2019,2,124,91,55,9,25,4196,7
SBAC,2019,1,72,62,85,38,46,4987,15
BIIB,2019,2,191,126,135,9,51,6672,14
RTN,2019,2,155,65,63,8,41,5506,11
IEX,2019,1,84,88,43,2,31,3888,7
PKI,2019,2,185,72,61,4,38,5491,8
HON,2019,2,200,109,110,9,52,6154,9
ADM,2019,1,199,132,116,10,63,6908,9
PBCT,2019,1,109,59,45,4,41,4370,8
DIS,2019,2,116,65,64,6,47,4550,10
WYNN,2019,1,62,59,59,13,70,3343,9
INTC,2019,2,173,90,74,2,39,5223,10
JWN,2019,1,124,55,46,2,27,3892,11
PNW,2019,2,56,87,59,9,34,3987,6
FRC,2019,1,138,60,66,1,28,4374,10
AON,2019,1,198,93,79,15,63,5418,8
FLIR,2019,1,146,53,40,3,21,4403,4
SIVB,2019,1,221,85,73,0,73,6223,12
VRSN,2019,1,26,25,21,17,8,1939,3
AFL,2019,2,153,109,79,14,53,5381,10
GPS,2019,1,198,124,84,4,93,6172,11
MSI,2019,2,85,56,58,14,37,4501,9
ETR,2019,2,124,53,48,25,37,3807,5
GD,2019,1,120,77,61,18,34,4089,11
ANSS,2019,1,161,87,60,0,30,4640,13
CMCSA,2019,2,199,64,50,6,53,5432,9
WRK,2019,1,183,83,76,6,39,5843,12
NSC,2019,2,253,140,85,5,54,7001,12
ROP,2019,1,193,67,70,12,82,6084,8
ORLY,2019,2,124,88,71,4,80,5181,11
IDXX,2019,1,220,45,65,1,43,5983,6
NRG,2019,2,141,74,77,12,41,5120,-1
ALK,2019,2,202,86,71,12,58,5890,12
AMZN,2019,1,81,66,52,7,51,3600,12
CTXS,2019,2,71,57,47,9,54,4390,11
M,2019,1,187,69,57,4,53,6613,13
WCG,2019,1,48,13,19,5,14,1480,0
RMD,2019,1,226,91,55,5,34,6710,12
CCI,2019,1,113,80,117,20,74,5930,13
TDG,2019,1,103,80,121,11,65,5259,14
IT,2019,2,173,81,63,36,27,6393,9
TWTR,2019,2,172,89,61,3,45,4818,11
LUV,2019,1,256,170,108,14,117,8015,11
NTRS,2019,1,94,114,84,8,64,5379,9
NEE,2019,2,179,76,91,49,64,5698,7
FISV,2019,2,179,80,84,4,40,6180,13
VLO,2019,2,103,95,100,13,46,5881,12
CXO,2019,2,82,96,95,5,82,5032,20
INCY,2019,2,135,133,82,20,73,5838,14
BLL,2019,1,186,82,112,19,69,6685,13
DLTR,2019,2,148,82,79,2,66,5522,9
WY,2019,1,114,100,101,12,71,6022,10
ABC,2019,2,207,75,61,22,52,5407,7
WMB,2019,2,173,87,80,27,89,5989,9
RCL,2019,1,204,86,90,5,61,5620,10
BEN,2019,1,111,121,121,11,83,4770,14
EXC,2019,1,119,46,48,47,31,4170,5
CMA,2019,1,131,104,68,3,60,5401,11
CAH,2019,1,158,95,90,26,65,6124,13
CF,2019,2,134,112,78,3,115,6172,14
MLM,2019,2,196,91,74,8,97,6671,11
HSIC,2019,1,175,66,99,2,44,5167,8
SBAC,2019,2,102,50,100,18,43,4733,8
NWL,2019,2,216,123,73,2,33,5899,10
HAS,2019,1,194,71,52,1,31,5677,10
BIIB,2019,1,181,137,151,18,59,6718,12
IEX,2019,2,109,112,74,1,33,4514,7
PKI,2019,1,176,69,81,1,53,5230,9
RTN,2019,1,151,82,41,4,38,5288,11
HON,2019,1,209,94,104,7,63,6433,12
KHC,2019,2,215,137,103,4,69,5518,-1
ADM,2019,2,147,112,89,3,36,5926,6
DIS,2019,1,125,97,68,9,39,4621,8
PBCT,2019,2,87,63,58,6,32,4129,7
WYNN,2019,2,41,56,54,5,49,3256,8
INTC,2019,1,134,89,71,1,37,4688,12
JWN,2019,2,165,59,52,2,45,4581,10
FLIR,2019,2,109,76,42,7,15,4505,7
AON,2019,2,238,126,108,6,82,5669,7
PNW,2019,1,43,80,67,9,29,3448,8
FRC,2019,2,111,88,68,8,54,4079,11
SLB,2019,1,182,75,87,15,35,6181,8
XLNX,2019,2,113,56,84,2,48,4835,8
MKTX,2019,2,151,49,71,7,60,5756,8
EOG,2019,2,251,68,73,1,77,6015,8
RHI,2019,2,81,75,48,6,27,4143,11
MSFT,2019,1,205,89,65,11,38,5668,10
STT,2019,2,178,103,96,11,86,8053,12
CMG,2019,2,197,78,75,8,62,5243,10
JKHY,2019,2,137,90,92,12,73,6364,8
DOV,2019,1,128,92,56,4,55,4850,13
DG,2019,2,283,62,126,8,61,6714,9
CBS,2019,1,180,64,75,12,92,6618,9
BHGE,2019,2,217,49,51,28,40,5669,8
MDLZ,2019,2,242,84,95,3,97,6578,10
CPB,2019,2,242,129,64,1,44,5693,5
AVGO,2019,2,43,59,63,2,13,2839,12
LNC,2019,1,161,106,84,7,45,5113,11
SYY,2019,2,178,79,82,8,93,6152,12
FITB,2019,2,204,110,93,1,57,6173,9
HCA,2019,2,109,70,80,55,50,4840,15
XEC,2019,2,122,90,80,5,91,5505,10
RL,2019,1,211,107,63,3,21,5705,8
EQR,2019,2,187,118,134,31,56,7317,13
FAST,2019,1,153,128,110,6,88,5947,5
TFX,2019,1,127,82,65,3,41,5078,10
PSA,2019,2,97,55,64,4,32,3962,10
AMD,2019,2,95,66,74,0,34,4874,15
EBAY,2019,2,141,54,64,9,33,5179,10
DTE,2019,2,160,61,44,14,26,4627,7
APTV,2019,2,145,128,90,8,51,7056,10
SPGI,2019,2,172,114,68,13,55,6537,10
PM,2019,1,153,76,91,7,43,4626,9
AVB,2019,1,202,190,234,26,119,11293,25
ESS,2019,2,145,127,97,16,68,6482,14
DHI,2019,1,187,105,81,12,65,5977,11
AGN,2019,1,179,109,88,17,84,6572,9
TSN,2019,1,154,74,86,6,56,4822,10
ADS,2019,2,141,97,89,4,59,5067,13
MRK,2019,1,189,75,82,8,49,5928,11
SYMC,2019,2,138,127,62,15,35,5400,9
MAS,2019,1,171,117,123,0,40,5649,13
UTX,2019,1,182,79,86,6,59,5958,13
AWK,2019,2,85,50,50,34,29,3613,-1
F,2019,1,480,209,156,12,129,11932,18
MNST,2019,1,73,50,65,24,22,4883,5
ICE,2019,1,109,96,60,23,30,5412,10
APA,2019,2,103,75,69,1,56,5095,11
IR,2019,1,160,104,67,36,46,5677,12
K,2019,2,215,119,44,1,65,5483,12
BWA,2019,2,89,142,86,6,49,5354,12
VTR,2019,1,254,84,103,4,72,6603,17
SLB,2019,2,199,107,69,20,37,6070,8
COST,2019,2,98,76,65,7,46,5398,-1
XLNX,2019,1,98,49,68,1,30,3528,8
EOG,2019,1,233,64,72,2,87,6064,11
RHI,2019,1,58,78,54,12,38,4436,11
MKTX,2019,1,118,45,85,6,66,5344,9
STT,2019,1,176,98,128,7,66,8233,12
MSFT,2019,2,165,77,54,11,39,5525,10
JKHY,2019,1,47,45,46,11,28,3433,4
CMG,2019,1,252,64,88,3,74,6522,13
CBS,2019,2,161,41,53,2,52,5274,8
DG,2019,1,247,52,127,1,59,5735,8
DOV,2019,2,147,116,69,8,70,5693,11
BHGE,2019,1,186,61,55,8,40,5429,7
MDLZ,2019,1,218,77,76,4,76,6396,9
CPB,2019,1,175,153,46,2,22,5691,8
LNC,2019,2,199,89,86,13,54,5463,10
AVGO,2019,1,87,72,62,1,33,3951,12
FITB,2019,1,184,102,92,7,64,6611,8
SYY,2019,1,139,121,99,11,71,6636,13
XEC,2019,1,113,103,66,9,61,5261,9
HCA,2019,1,169,74,89,45,26,5357,19
RL,2019,2,232,104,62,2,30,6401,10
FAST,2019,2,96,117,91,8,50,5550,6
EQR,2019,1,173,101,97,11,69,5923,11
TFX,2019,2,158,73,75,6,79,5630,10
PSA,2019,1,108,54,72,9,40,4515,10
AMD,2019,1,106,60,57,0,36,4572,12
VFC,2019,1,198,80,71,0,59,5798,9
EBAY,2019,1,109,48,62,8,44,5044,9
SPGI,2019,1,177,110,90,13,63,6742,11
APTV,2019,1,152,132,94,12,51,6618,9
DTE,2019,1,155,64,46,39,42,5678,8
LHX,2019,2,199,66,79,12,36,5871,11
PM,2019,2,161,75,91,4,50,5534,7
ESS,2019,1,153,146,122,14,77,6765,17
DHI,2019,2,145,88,83,8,64,5827,13
TSN,2019,2,137,87,95,16,71,5169,12
MRK,2019,2,159,107,69,16,46,5090,12
SYMC,2019,1,95,114,83,36,40,5878,8
AWK,2019,1,118,53,67,41,39,4376,3
MAS,2019,2,145,93,110,0,43,5486,14
UTX,2019,2,191,90,86,15,79,6221,12
MNST,2019,2,44,40,48,12,21,4206,4
F,2019,2,234,108,47,8,55,5608,7
ICE,2019,2,99,71,57,13,26,4246,7
APA,2019,1,131,75,68,8,67,6113,12
