company_name,year,quarter,positive,negative,uncertainty,litigious,modal,total_words,participants
JNJ,2019,1,226,146,82,11,47,6892,10
LOW,2019,2,260,112,71,2,48,6499,8
CHTR,2018,4,113,82,51,2,43,5380,8
CB,2018,3,155,170,82,19,35,6084,9
GILD,2019,1,228,119,97,14,59,6903,10
ADP,2019,2,261,122,119,5,96,6205,11
UPS,2018,4,227,66,52,10,32,5935,5
ISRG,2018,3,139,74,83,10,41,6119,10
TXN,2019,1,68,59,38,0,52,3415,7
AMGN,2019,2,198,139,82,22,55,6069,15
CRM,2019,1,176,52,83,18,57,6194,9
ABBV,2018,4,125,101,123,20,65,5389,8
WFC,2018,4,215,168,146,24,108,7956,11
MCD,2019,1,264,89,49,3,89,5779,10
XOM,2018,4,257,146,71,3,69,7320,13
MMM,2018,3,147,111,55,6,51,5842,11
COP,2019,2,109,88,68,8,61,5069,11
CAT,2018,3,182,80,56,2,46,5791,13
ADBE,2019,1,221,59,81,4,59,5905,13
NKE,2019,2,275,64,49,13,22,5725,6
GOOG,2018,4,201,72,46,5,70,5801,12
DHR,2019,2,189,59,80,5,73,5218,5
ABT,2018,4,198,76,82,11,82,5767,7
D,2018,3,94,60,49,27,24,3517,5
LLY,2019,2,262,171,108,28,65,7669,11
PYPL,2018,4,157,63,68,2,54,5425,6
BMY,2018,3,166,131,103,9,82,6463,52
ADP,2019,1,297,91,108,8,103,6803,10
GILD,2019,2,171,100,73,8,47,5529,12
SBUX,2018,3,216,104,71,5,45,6447,8
TXN,2019,2,84,68,42,3,48,3210,8
CME,2018,3,90,95,66,58,42,4155,5
AMGN,2019,1,166,137,100,21,35,6078,16
CI,2018,4,225,146,94,23,64,7359,17
ACN,2018,3,204,63,59,9,81,5525,9
CRM,2019,2,170,56,69,6,55,5330,10
GOOGL,2018,3,181,71,55,1,69,5864,11
JPM,2018,3,119,112,85,7,100,5733,14
MCD,2019,2,229,82,66,1,75,5749,9
PEP,2018,3,204,88,71,4,67,5147,15
GS,2018,4,189,152,101,29,89,7789,12
MA,2018,4,124,65,53,5,40,5533,10
COP,2019,1,112,72,69,14,61,4573,10
ADBE,2019,2,219,46,53,3,46,4972,12
FB,2018,4,224,90,83,8,70,6302,12
NKE,2019,1,261,47,46,10,38,5502,6
AXP,2018,3,176,84,80,11,58,6277,13
TJX,2018,4,194,89,77,5,75,6203,9
KO,2018,4,190,83,67,2,62,5329,12
DHR,2019,1,210,56,67,8,49,5328,8
NVDA,2018,4,113,61,82,5,59,5279,12
NFLX,2018,3,100,34,84,1,54,3912,176
LLY,2019,1,194,119,68,21,53,6459,13
BAC,2018,4,192,150,101,6,82,7130,9
MCD,2018,4,223,82,76,1,68,5681,10
C,2018,3,167,110,72,6,48,6294,10
GS,2019,2,173,122,110,11,73,6326,12
XOM,2019,1,184,112,91,4,99,6372,10
CRM,2018,4,213,57,73,9,48,6168,11
CI,2019,2,246,138,89,12,60,7192,15
WFC,2019,1,232,187,197,62,94,9130,11
ABBV,2019,1,170,120,85,15,73,6110,7
TXN,2018,4,71,92,76,2,47,3858,5
LOW,2018,3,222,155,76,2,45,6418,7
CHTR,2019,1,143,88,60,3,73,5590,9
UPS,2019,1,215,75,46,0,30,5708,12
GILD,2018,4,164,130,112,9,50,6002,14
BAC,2019,2,236,143,118,5,94,9542,13
PYPL,2019,1,147,84,71,0,51,5373,8
BA,2018,3,254,86,63,25,37,7550,14
